Ticker symbol;Security;SEC filings;GICS Sector;GICS Code;GICS Sub Industry;GICS Sub-Code;Address of Headquarters;Date first added;CIK
HON;Honeywell Int'l Inc.;reports;Industrials;20;Industrial Conglomerates;20105010;Morristown, New Jersey;31.03.1964;773840
HRL;Hormel Foods Corp.;reports;Consumer Staples;30;Packaged Foods & Meats;30202030;Austin, Minnesota;04.03.2009;48465
HST;Host Hotels & Resorts;reports;Real Estate;60;Hotel & Resort REITs;60101030;Bethesda, Maryland;20.03.2007;1070750
HPQ;HP Inc.;reports;Information Technology;45;Technology Hardware, Storage & Peripherals;45202030;Palo Alto, California;31.12.1974;47217
HUM;Humana Inc.;reports;Health Care;35;Managed Health Care;35102030;Louisville, Kentucky;;49071
HBAN;Huntington Bancshares;reports;Financials;40;Regional Banks;40101015;Columbus, Ohio;;49196
HII;Huntington Ingalls Industries;reports;Industrials;20;Aerospace & Defense;20101010;Newport News, Virginia;03.01.2018;1501585
IDXX;IDEXX Laboratories;reports;Health Care;35;Health Care Equipment;35101010;Westbrook, Maine;05.01.2017;874716
INFO;IHS Markit Ltd.;reports;Industrials;20;Research & Consulting Services;20202020;London, United Kingdom;02.06.2017;1598014
ITW;Illinois Tool Works;reports;Industrials;20;Industrial Machinery;20106020;Glenview, Illinois;28.02.1986;49826
ILMN;Illumina Inc;reports;Health Care;35;Life Sciences Tools & Services;35203010;San Diego, California;19.11.2015;1110803
IR;Ingersoll-Rand PLC;reports;Industrials;20;Industrial Machinery;20106020;Dublin, Ireland;17.11.2010;1466258
INTC;Intel Corp.;reports;Information Technology;45;Semiconductors;45301020;Santa Clara, California;31.12.1976;50863
ICE;Intercontinental Exchange;reports;Financials;40;Financial Exchanges & Data;40203040;Atlanta, Georgia;26.09.2007;1571949
IBM;International Business Machines;reports;Information Technology;45;IT Consulting & Other Services;45102010;Armonk, New York;;51143
INCY;Incyte;reports;Health Care;35;Biotechnology;35201010;Wilmington, Delaware;28.02.2017;879169
IP;International Paper;reports;Materials;15;Paper Packaging;15103020;Memphis, Tennessee;;51434
IPG;Interpublic Group;reports;Consumer Discretionary;25;Advertising;25401010;New York, New York;01.10.1992;51644
IFF;Intl Flavors & Fragrances;reports;Materials;15;Specialty Chemicals;15101050;New York, New York;31.03.1976;51253
INTU;Intuit Inc.;reports;Information Technology;45;Internet Software & Services;45101010;Mountain View, California;05.12.2000;896878
ISRG;Intuitive Surgical Inc.;reports;Health Care;35;Health Care Equipment;35101010;Sunnyvale, California;02.06.2008;1035267
IVZ;Invesco Ltd.;reports;Financials;40;Asset Management & Custody Banks;40203010;Atlanta, Georgia;21.08.2008;914208
IQV;IQVIA Holdings Inc.;reports;Health Care;35;Life Sciences Tools & Service;#NV;Durham, North Carolina;29.08.2017;1478242
IRM;Iron Mountain Incorporated;reports;Real Estate;60;Specialized REITs;60101080;Boston, Massachusetts;06.01.2009;1020569
JEC;Jacobs Engineering Group;reports;Industrials;20;Construction & Engineering;20103010;Pasadena, California;26.10.2007;52988
JBHT;J. B. Hunt Transport Services;reports;Industrials;20;Trucking;20304020;Lowell, Arkansas;01.07.2015;728535
SJM;JM Smucker;reports;Consumer Staples;30;Packaged Foods & Meats;30202030;Orrville, Ohio;06.11.2008;91419
JNJ;Johnson & Johnson;reports;Health Care;35;Health Care Equipment;35101010;New Brunswick, New Jersey;30.06.1973;200406
JCI;Johnson Controls International;reports;Industrials;20;Building Products;20102010;Cork, Ireland;27.08.2010;833444
JPM;JPMorgan Chase & Co.;reports;Financials;40;Diversified Banks;40101010;New York, New York;30.06.1975;19617
JNPR;Juniper Networks;reports;Information Technology;45;Communications Equipment;45201020;Sunnyvale, California;;1043604
KSU;Kansas City Southern;reports;Industrials;20;Railroads;20304010;Kansas City, Missouri;24.05.2013;54480
K;Kellogg Co.;reports;Consumer Staples;30;Packaged Foods & Meats;30202030;Battle Creek, Michigan;;55067
KEY;KeyCorp;reports;Financials;40;Regional Banks;40101015;Cleveland, Ohio;01.03.1994;91576
KMB;Kimberly-Clark;reports;Consumer Staples;30;Household Products;30301010;Irving, Texas;;55785
KIM;Kimco Realty;reports;Real Estate;60;Retail REITs;60101070;New Hyde Park, New York;04.04.2006;879101
KMI;Kinder Morgan;reports;Energy;10;Oil & Gas Storage & Transportation;10102040;Houston, Texas;25.05.2012;1506307
KLAC;KLA-Tencor Corp.;reports;Information Technology;45;Semiconductor Equipment;45301010;Milpitas, California;;319201
KSS;Kohl's Corp.;reports;Consumer Discretionary;25;General Merchandise Stores;25503020;Menomonee Falls, Wisconsin;;885639
KHC;Kraft Heinz Co;reports;Consumer Staples;30;Packaged Foods & Meats;30202030;Pittsburgh, Pennsylvania;06.07.2015;1637459
KR;Kroger Co.;reports;Consumer Staples;30;Food Retail;30101030;Cincinnati, Ohio;;56873
LB;L Brands Inc.;reports;Consumer Discretionary;25;Apparel Retail;25504010;Columbus, Ohio;30.09.1983;701985
LLL;L-3 Communications Holdings;reports;Industrials;20;Aerospace & Defense;20101010;New York, New York;;1056239
LH;Laboratory Corp. of America Holding;reports;Health Care;35;Health Care Services;35102015;Burlington, North Carolina;01.11.2004;920148
LRCX;Lam Research;reports;Information Technology;45;Semiconductor Equipment;45301010;Fremont, California;29.06.2012;707549
LEG;Leggett & Platt;reports;Consumer Discretionary;25;Home Furnishings;25201020;Carthage, Missouri;;58492
LEN;Lennar Corp.;reports;Consumer Discretionary;25;Homebuilding;25201030;Miami, Florida;04.10.2005;920760
LUK;Leucadia National Corp.;reports;Financials;40;Multi-Sector Holdings;40201030;New York, New York;27.08.2007;96223
LLY;Lilly (Eli) & Co.;reports;Health Care;35;Pharmaceuticals;35202010;Indianapolis, Indiana;31.12.1970;59478
LNC;Lincoln National;reports;Financials;40;Multi-line Insurance;40301030;Radnor, Pennsylvania;30.06.1976;59558
LKQ;LKQ Corporation;reports;Consumer Discretionary;25;Distributors;25501010;Chicago, Illinois;23.05.2016;1065696
LMT;Lockheed Martin Corp.;reports;Industrials;20;Aerospace & Defense;20101010;Bethesda, Maryland;31.07.1984;936468
L;Loews Corp.;reports;Financials;40;Multi-line Insurance;40301030;New York, New York;;60086
LOW;Lowe's Cos.;reports;Consumer Discretionary;25;Home Improvement Retail;25504030;Mooresville, North Carolina;29.02.1984;60667
LYB;LyondellBasell;reports;Materials;15;Specialty Chemicals;15101050;Rotterdam, Netherlands;05.09.2012;1489393
MTB;M&T Bank Corp.;reports;Financials;40;Regional Banks;40101015;Buffalo, New York;;36270
MAC;Macerich;reports;Real Estate;60;Retail REITs;60101070;Santa Monica, California;09.05.2013;912242
M;Macy's Inc.;reports;Consumer Discretionary;25;Department Stores;25503010;Cincinnati, Ohio;;794367
MRO;Marathon Oil Corp.;reports;Energy;10;Oil & Gas Exploration & Production;10102020;Houston, Texas;01.05.1991;101778
MPC;Marathon Petroleum;reports;Energy;10;Oil & Gas Refining & Marketing;10102030;Findlay, Ohio;01.07.2011;1510295
MAR;Marriott Int'l.;reports;Consumer Discretionary;25;Hotels, Resorts & Cruise Lines;25301020;Bethesda, Maryland;;1048286
MMC;Marsh & McLennan;reports;Financials;40;Insurance Brokers;40301010;New York, New York;31.08.1987;62709
MLM;Martin Marietta Materials;reports;Materials;15;Construction Materials;15102010;Raleigh, North Carolina;02.07.2014;916076
MAS;Masco Corp.;reports;Industrials;20;Building Products;20102010;Taylor, Michigan;30.06.1981;62996
MA;Mastercard Inc.;reports;Information Technology;45;Internet Software & Services;45101010;Harrison, New York;18.07.2008;1141391
MAT;Mattel Inc.;reports;Consumer Discretionary;25;Leisure Products;25202010;El Segundo, California;31.03.1982;63276
MKC;McCormick & Co.;reports;Consumer Staples;30;Packaged Foods & Meats;30202030;Sparks, Maryland;;63754
MCD;McDonald's Corp.;reports;Consumer Discretionary;25;Restaurants;25301040;Oak Brook, Illinois;30.06.1970;63908
MCK;McKesson Corp.;reports;Health Care;35;Health Care Distributors;35102010;San Francisco, California;;927653
MDT;Medtronic plc;reports;Health Care;35;Health Care Equipment;35101010;Dublin, Ireland;31.10.1986;64670
MRK;Merck & Co.;reports;Health Care;35;Pharmaceuticals;35202010;Whitehouse Station, New Jersey;;310158
MET;MetLife Inc.;reports;Financials;40;Life & Health Insurance;40301020;New York, New York;;1099219
MTD;Mettler Toledo;reports;Health Care;35;Life Sciences Tools & Services;35203010;Columbus, Ohio;06.09.2016;1037646
MGM;MGM Resorts International;reports;Consumer Discretionary;25;Casinos & Gaming;25301010;Paradise, Nevada;26.07.2017;789570
KORS;Michael Kors Holdings;reports;Consumer Discretionary;25;Apparel, Accessories & Luxury Goods;25203010;New York, New York;13.11.2013;1530721
MCHP;Microchip Technology;reports;Information Technology;45;Semiconductors;45301020;Chandler, Arizona;07.09.2007;827054
MU;Micron Technology;reports;Information Technology;45;Semiconductors;45301020;Boise, Idaho;27.09.1994;723125
MSFT;Microsoft Corp.;reports;Information Technology;45;Systems Software;45103020;Redmond, Washington;01.06.1994;789019
MAA;Mid-America Apartments;reports;Real Estate;60;Residential REITs;60101060;Memphis, Tennessee;02.12.2016;912595
MHK;Mohawk Industries;reports;Consumer Discretionary;25;Home Furnishings;25201020;Amsterdam, New York;23.12.2013;851968
TAP;Molson Coors Brewing Company;reports;Consumer Staples;30;Brewers;30201010;Denver, Colorado;30.06.1976;24545
MDLZ;Mondelez International;reports;Consumer Staples;30;Packaged Foods & Meats;30202030;Northfield, Illinois;02.10.2012;1103982
MON;Monsanto Co.;reports;Materials;15;Fertilizers & Agricultural Chemicals;15101030;Creve Coeur, Missouri;07.08.2002;1110783
MNST;Monster Beverage;reports;Consumer Staples;30;Soft Drinks;30201030;Corona, California;28.06.2012;865752
MCO;Moody's Corp;reports;Financials;40;Financial Exchanges & Data;40203040;New York, New York;;1059556
MS;Morgan Stanley;reports;Financials;40;Investment Banking & Brokerage;40203020;New York, New York;;895421
MOS;The Mosaic Company;reports;Materials;15;Fertilizers & Agricultural Chemicals;15101030;Plymouth, Minnesota;26.09.2011;1285785
MSI;Motorola Solutions Inc.;reports;Information Technology;45;Communications Equipment;45201020;Schaumburg, Illinois;;68505
MYL;Mylan N.V.;reports;Health Care;35;Pharmaceuticals;35202010;Amsterdam, Netherlands;23.04.2004;69499
NDAQ;Nasdaq, Inc.;reports;Financials;40;Financial Exchanges & Data;40203040;New York, New York;22.10.2008;1120193
NOV;National Oilwell Varco Inc.;reports;Energy;10;Oil & Gas Equipment & Services;10101020;Houston, Texas;14.03.2005;1021860
NAVI;Navient;reports;Financials;40;Consumer Finance;40202010;Wilmington, Delaware;01.05.2014;1593538
NTAP;NetApp;reports;Information Technology;45;Internet Software & Services;45101010;Sunnyvale, California;25.06.1999;1002047
NFLX;Netflix Inc.;reports;Information Technology;45;Internet Software & Services;45101010;Los Gatos, California;20.12.2010;1065280
NWL;Newell Brands;reports;Consumer Discretionary;25;Housewares & Specialties;25201050;Sandy Springs, Georgia;30.04.1989;814453
NFX;Newfield Exploration Co;reports;Energy;10;Oil & Gas Exploration & Production;10102020;Houston, Texas;20.12.2010;912750
NEM;Newmont Mining Corporation;reports;Materials;15;Gold;15104030;Denver, Colorado;30.06.1969;1164727
NWSA;News Corp. Class A;reports;Consumer Discretionary;25;Publishing;25401040;New York, New York;01.08.2013;1564708
NWS;News Corp. Class B;reports;Consumer Discretionary;25;Publishing;25401040;New York, New York;18.09.2015;1564708
NEE;NextEra Energy;reports;Utilities;55;Multi-Utilities;55103010;Juno Beach, Florida;30.06.1976;753308
NLSN;Nielsen Holdings;reports;Industrials;20;Research & Consulting Services;20202020;New York, New York;09.07.2013;1492633
NKE;Nike;reports;Consumer Discretionary;25;Apparel, Accessories & Luxury Goods;25203010;Washington County, Oregon;30.11.1988;320187
NI;NiSource Inc.;reports;Utilities;55;Multi-Utilities;55103010;Merrillville, Indiana;;1111711
NBL;Noble Energy Inc;reports;Energy;10;Oil & Gas Exploration & Production;10102020;Houston, Texas;08.10.2007;72207
JWN;Nordstrom;reports;Consumer Discretionary;25;Department Stores;25503010;Seattle, Washington;31.08.1986;72333
NSC;Norfolk Southern Corp.;reports;Industrials;20;Railroads;20304010;Norfolk, Virginia;;702165
NTRS;Northern Trust Corp.;reports;Financials;40;Asset Management & Custody Banks;40203010;Chicago, Illinois;;73124
NOC;Northrop Grumman Corp.;reports;Industrials;20;Aerospace & Defense;20101010;West Falls Church, Virginia;30.06.1985;1133421
NCLH;Norwegian Cruise Line;reports;Consumer Discretionary;25;Hotels, Resorts & Cruise Lines;25301020;Miami, Florida;13.10.2017;1513761
NRG;NRG Energy;reports;Utilities;55;Independent Power Producers & Energy Traders;55105010;Princeton, New Jersey;29.01.2010;1013871
NUE;Nucor Corp.;reports;Materials;15;Steel;15104050;Charlotte, North Carolina;30.04.1985;73309
NVDA;Nvidia Corporation;reports;Information Technology;45;Semiconductors;45301020;Santa Clara, California;30.11.2001;1045810
ORLY;O'Reilly Automotive;reports;Consumer Discretionary;25;Specialty Stores;25504040;Springfield, Missouri;27.03.2009;898173
OXY;Occidental Petroleum;reports;Energy;10;Oil & Gas Exploration & Production;10102020;Los Angeles, California;31.12.1982;797468
OMC;Omnicom Group;reports;Consumer Discretionary;25;Advertising;25401010;New York, New York;;29989
OKE;ONEOK;reports;Energy;10;Oil & Gas Storage & Transportation;10102040;Tulsa, Oklahoma;15.03.2010;1039684
ORCL;Oracle Corp.;reports;Information Technology;45;Application Software;45103010;Redwood Shores, California;31.08.1989;1341439
PCAR;PACCAR Inc.;reports;Industrials;20;Construction Machinery & Heavy Trucks;20106010;Bellevue, Washington;31.12.1980;75362
PKG;Packaging Corporation of America;reports;Materials;15;Paper Packaging;15103020;Lake Forest, Illinois;26.07.2017;75677
PH;Parker-Hannifin;reports;Industrials;20;Industrial Machinery;20106020;Cleveland, Ohio;30.11.1985;76334
PDCO;Patterson Companies;reports;Health Care;35;Health Care Supplies;35101020;St. Paul, Minnesota;11.10.2005;891024
PAYX;Paychex Inc.;reports;Information Technology;45;Internet Software & Services;45101010;Penfield, New York;;723531
PYPL;PayPal;reports;Information Technology;45;Data Processing & Outsourced Services;45102020;San Jose, California;20.07.2015;1633917
PNR;Pentair Ltd.;reports;Industrials;20;Industrial Machinery;20106020;Worsley, UK;01.10.2012;77360
PBCT;People's United Financial;reports;Financials;40;Thrifts & Mortgage Finance;40102010;Bridgeport, Connecticut;13.11.2008;1378946
PEP;PepsiCo Inc.;reports;Consumer Staples;30;Soft Drinks;30201030;Purchase, New York;;77476
PKI;PerkinElmer;reports;Health Care;35;Health Care Equipment;35101010;Waltham, Massachusetts;31.05.1985;31791
PRGO;Perrigo;reports;Health Care;35;Pharmaceuticals;35202010;Dublin, Ireland;19.12.2011;1585364
PFE;Pfizer Inc.;reports;Health Care;35;Pharmaceuticals;35202010;New York, New York;;78003
PCG;PG&E Corp.;reports;Utilities;55;Multi-Utilities;55103010;San Francisco, California;;1004980
PM;Philip Morris International;reports;Consumer Staples;30;Tobacco;30203010;New York, New York;31.03.2008;1413329
PSX;Phillips 66;reports;Energy;10;Oil & Gas Refining & Marketing;10102030;Houston, Texas;01.05.2012;1534701
PNW;Pinnacle West Capital;reports;Utilities;55;Multi-Utilities;55103010;Phoenix, Arizona;;764622
PXD;Pioneer Natural Resources;reports;Energy;10;Oil & Gas Exploration & Production;10102020;Irving, Texas;24.09.2008;1038357
PNC;PNC Financial Services;reports;Financials;40;Regional Banks;40101015;Pittsburgh, Pennsylvania;30.04.1988;713676
RL;Polo Ralph Lauren Corp.;reports;Consumer Discretionary;25;Apparel, Accessories & Luxury Goods;25203010;New York, New York;02.02.2007;1037038
PPG;PPG Industries;reports;Materials;15;Specialty Chemicals;15101050;Pittsburgh, Pennsylvania;;79879
PPL;PPL Corp.;reports;Utilities;55;Electric Utilities;55101010;Allentown, Pennsylvania;;922224
PX;Praxair Inc.;reports;Materials;15;Industrial Gases;15101040;Danbury, Connecticut;01.07.1992;884905
PCLN;Priceline.com Inc;reports;Consumer Discretionary;25;Internet & Direct Marketing Retail;25502020;Norwalk, Connecticut;06.11.2009;1075531
PFG;Principal Financial Group;reports;Financials;40;Life & Health Insurance;40301020;Des Moines, Iowa;22.07.2002;1126328
PG;Procter & Gamble;reports;Consumer Staples;30;Personal Products;30302010;Cincinnati, Ohio;;80424
PGR;Progressive Corp.;reports;Financials;40;Property & Casualty Insurance;40301040;Mayfield Village, Ohio;04.08.1997;80661
PLD;Prologis;reports;Real Estate;60;Industrial REITs;60101020;San Francisco, California;17.07.2003;1045609
PRU;Prudential Financial;reports;Financials;40;Life & Health Insurance;40301020;Newark, New Jersey;22.07.2002;1137774
PEG;Public Serv. Enterprise Inc.;reports;Utilities;55;Electric Utilities;55101010;Newark, New Jersey;;788784
PSA;Public Storage;reports;Real Estate;60;Specialized REITs;60101080;Glendale, California;19.08.2005;1393311
PHM;Pulte Homes Inc.;reports;Consumer Discretionary;25;Homebuilding;25201030;Atlanta, Georgia;30.04.1984;822416
PVH;PVH Corp.;reports;Consumer Discretionary;25;Apparel, Accessories & Luxury Goods;25203010;New York, New York;15.02.2013;78239
QRVO;Qorvo;reports;Information Technology;45;Semiconductors;45301020;Greensboro, North Carolina;11.06.2015;1604778
PWR;Quanta Services Inc.;reports;Industrials;20;Construction & Engineering;20103010;Houston, Texas;01.07.2009;1050915
QCOM;QUALCOMM Inc.;reports;Information Technology;45;Semiconductors;45301020;San Diego, California;;804328
DGX;Quest Diagnostics;reports;Health Care;35;Health Care Services;35102015;Madison, New Jersey;12.12.2002;1022079
RRC;Range Resources Corp.;reports;Energy;10;Oil & Gas Exploration & Production;10102020;Fort Worth, Texas;21.12.2007;315852
RJF;Raymond James Financial Inc.;reports;Financials;40;Investment Banking & Brokerage;40203020;St. Petersburg, Florida;20.03.2017;720005
RTN;Raytheon Co.;reports;Industrials;20;Aerospace & Defense;20101010;Waltham, Massachusetts;;1047122
O;Realty Income Corporation;reports;Real Estate;60;Retail REITs;60101070;San Diego, California;07.04.2015;726728
RHT;Red Hat Inc.;reports;Information Technology;45;Systems Software;45103020;Raleigh, North Carolina;27.07.2009;1087423
REG;Regency Centers Corporation;reports;Real Estate;60;Retail REITs;60101070;Jacksonville, Florida;02.03.2017;910606
REGN;Regeneron;reports;Health Care;35;Biotechnology;35201010;Tarrytown, New York;01.05.2013;872589
RF;Regions Financial Corp.;reports;Financials;40;Regional Banks;40101015;Birmingham, Alabama;28.08.1998;1281761
RSG;Republic Services Inc;reports;Industrials;20;Environmental & Facilities Services;20201050;Phoenix, Arizona;05.12.2008;1060391
RMD;ResMed;reports;Health Care;35;Health Care Equipment;35101010;San Diego, California;26.07.2017;943819
RHI;Robert Half International;reports;Industrials;20;Human Resource & Employment Services;20202010;Menlo Park, California;05.12.2000;315213
ROK;Rockwell Automation Inc.;reports;Industrials;20;Electrical Components & Equipment;20104010;Milwaukee, Wisconsin;;1024478
COL;Rockwell Collins;reports;Industrials;20;Aerospace & Defense;20101010;Cedar Rapids, Iowa;02.07.2001;1137411
ROP;Roper Technologies;reports;Industrials;20;Industrial Conglomerates;20105010;Sarasota, Florida;23.12.2009;882835
ROST;Ross Stores;reports;Consumer Discretionary;25;Apparel Retail;25504010;Pleasanton, California;21.12.2009;745732
RCL;Royal Caribbean Cruises Ltd;reports;Consumer Discretionary;25;Hotels, Resorts & Cruise Lines;25301020;Miami, Florida;05.12.2014;884887
CRM;Salesforce.com;reports;Information Technology;45;Internet Software & Services;45101010;San Francisco, California;15.09.2008;1108524
SBAC;SBA Communications;reports;Real Estate;60;Specialized REITs;60101080;Boca Raton, Florida;01.09.2017;1034054
SCG;SCANA Corp;reports;Utilities;55;Multi-Utilities;55103010;Cayce, South Carolina;02.01.2009;754737
SLB;Schlumberger Ltd.;reports;Energy;10;Oil & Gas Equipment & Services;10101020;Curaçao, Kingdom of the Netherlands;31.03.1965;87347
SNI;Scripps Networks Interactive Inc.;reports;Consumer Discretionary;25;Cable & Satellite;25401025;Cincinnati, Ohio;01.07.2008;1430602
STX;Seagate Technology;reports;Information Technology;45;Technology Hardware, Storage & Peripherals;45202030;Dublin, Ireland;02.07.2012;1137789
SEE;Sealed Air;reports;Materials;15;Paper Packaging;15103020;Elmwood Park, New Jersey;;1012100
SRE;Sempra Energy;reports;Utilities;55;Multi-Utilities;55103010;San Diego, California;;1032208
SHW;Sherwin-Williams;reports;Materials;15;Specialty Chemicals;15101050;Cleveland, Ohio;30.06.1964;89800
SIG;Signet Jewelers;reports;Consumer Discretionary;25;Specialty Stores;25504040;Hamilton, Bermuda;29.07.2015;832988
SPG;Simon Property Group Inc;reports;Real Estate;60;Retail REITs;60101070;Indianapolis, Indiana;26.06.2002;1063761
SWKS;Skyworks Solutions;reports;Information Technology;45;Semiconductors;45301020;Woburn, Massachusetts;12.03.2015;4127
SLG;SL Green Realty;reports;Real Estate;60;Office REITs;60101040;New York, New York;20.03.2015;1040971
SNA;Snap-On Inc.;reports;Consumer Discretionary;25;Household Appliances;25201040;Kenosha, Wisconsin;30.09.1982;91440
SO;Southern Co.;reports;Utilities;55;Electric Utilities;55101010;Atlanta, Georgia;;92122
LUV;Southwest Airlines;reports;Industrials;20;Airlines;20302010;Dallas, Texas;01.07.1994;92380
SPGI;S&P Global, Inc.;reports;Financials;40;Financial Exchanges & Data;40203040;New York, New York;;64040
SWK;Stanley Black & Decker;reports;Consumer Discretionary;25;Household Appliances;25201040;New Britain, Connecticut;30.09.1982;93556
SBUX;Starbucks Corp.;reports;Consumer Discretionary;25;Restaurants;25301040;Seattle, Washington;;829224
STT;State Street Corp.;reports;Financials;40;Asset Management & Custody Banks;40203010;Boston, Massachusetts;;93751
SRCL;Stericycle Inc;reports;Industrials;20;Environmental & Facilities Services;20201050;Lake Forest, Illinois;19.11.2008;861878
SYK;Stryker Corp.;reports;Health Care;35;Health Care Equipment;35101010;Kalamazoo, Michigan;12.12.2000;310764
STI;SunTrust Banks;reports;Financials;40;Regional Banks;40101015;Atlanta, Georgia;31.05.1988;750556
SYMC;Symantec Corp.;reports;Information Technology;45;Application Software;45103010;Mountain View, California;25.03.2003;849399
SYF;Synchrony Financial;reports;Financials;40;Consumer Finance;40202010;Stamford, Connecticut;18.11.2015;1601712
SNPS;Synopsys Inc.;reports;Information Technology;45;Application Software;45103010;Mountain View, California;16.03.2017;883241
SYY;Sysco Corp.;reports;Consumer Staples;30;Food Distributors;30101020;Houston, Texas;31.12.1986;96021
TROW;T. Rowe Price Group;reports;Financials;40;Asset Management & Custody Banks;40203010;Baltimore, Maryland;;1113169
TPR;Tapestry, Inc.;reports;Consumer Discretionary;25;Apparel, Accessories & Luxury Goods;25203010;New York, New York;;1116132
TGT;Target Corp.;reports;Consumer Discretionary;25;General Merchandise Stores;25503020;Minneapolis, Minnesota;31.12.1976;27419
TEL;TE Connectivity Ltd.;reports;Information Technology;45;Electronic Manufacturing Services;45203020;Schaffhausen, Switzerland;17.10.2011;1385157
FTI;TechnipFMC;reports;Energy;10;Oil & Gas Equipment & Services;10101020;London, United Kingdom;05.06.2009;1681459
TXN;Texas Instruments;reports;Information Technology;45;Semiconductors;45301020;Dallas, Texas;;97476
TXT;Textron Inc.;reports;Industrials;20;Aerospace & Defense;20101010;Providence, Rhode Island;31.12.1978;217346
TMO;Thermo Fisher Scientific;reports;Health Care;35;Health Care Equipment;35101010;Waltham, Massachusetts;;97745
TIF;Tiffany & Co.;reports;Consumer Discretionary;25;Apparel, Accessories & Luxury Goods;25203010;New York, New York;21.06.2000;98246
TWX;Time Warner Inc.;reports;Consumer Discretionary;25;Cable & Satellite;25401025;New York, New York;;1105705
TJX;TJX Companies Inc.;reports;Consumer Discretionary;25;Apparel Retail;25504010;Framingham, Massachusetts;30.09.1985;109198
TMK;Torchmark Corp.;reports;Financials;40;Life & Health Insurance;40301020;McKinney, Texas;30.04.1989;320335
TSS;Total System Services;reports;Information Technology;45;Internet Software & Services;45101010;Columbus, Georgia;02.01.2008;721683
TSCO;Tractor Supply Company;reports;Consumer Discretionary;25;Specialty Stores;25504040;Brentwood, Tennessee;24.01.2014;916365
TDG;TransDigm Group;reports;Industrials;20;Aerospace & Defense;20101010;Cleveland, Ohio;03.06.2016;1260221
TRV;The Travelers Companies Inc.;reports;Financials;40;Property & Casualty Insurance;40301040;New York, New York;21.08.2002;86312
TRIP;TripAdvisor;reports;Consumer Discretionary;25;Internet & Direct Marketing Retail;25502020;Newton, Massachusetts;21.12.2011;1526520
FOXA;Twenty-First Century Fox Class A;reports;Consumer Discretionary;25;Publishing;25401040;New York, New York;01.07.2013;1308161
FOX;Twenty-First Century Fox Class B;reports;Consumer Discretionary;25;Publishing;25401040;New York, New York;18.09.2015;1308161
TSN;Tyson Foods;reports;Consumer Staples;30;Packaged Foods & Meats;30202030;Springdale, Arkansas;;100493
UDR;UDR Inc;reports;Real Estate;60;Residential REITs;60101060;Highlands Ranch, Colorado;07.03.2016;74208
ULTA;Ulta Salon Cosmetics & Fragrance Inc;reports;Consumer Discretionary;25;Specialty Stores;25504040;Bolingbrook, Illinois;18.04.2016;1403568
USB;U.S. Bancorp;reports;Financials;40;Diversified Banks;40101010;Minneapolis, Minnesota;;36104
UA;Under Armour Class C;reports;Consumer Discretionary;25;Apparel, Accessories & Luxury Goods;25203010;Baltimore, Maryland;01.05.2014;1336917
UAA;Under Armour Class A;reports;Consumer Discretionary;25;Apparel, Accessories & Luxury Goods;25203010;Baltimore, Maryland;25.03.2016;1336917
UNP;Union Pacific;reports;Industrials;20;Railroads;20304010;Omaha, Nebraska;;100885
UAL;United Continental Holdings;reports;Industrials;20;Airlines;20302010;Chicago, Illinois;03.09.2015;100517
UNH;United Health Group Inc.;reports;Health Care;35;Managed Health Care;35102030;Minnetonka, Minnesota;01.07.1994;731766
UPS;United Parcel Service;reports;Industrials;20;Air Freight & Logistics;20301010;Atlanta, Georgia;22.07.2002;1090727
URI;United Rentals, Inc.;reports;Industrials;20;Trading Companies & Distributors;20107010;Stamford, Connecticut;20.09.2014;1067701
UTX;United Technologies;reports;Industrials;20;Aerospace & Defense;20101010;Hartford, Connecticut;;101829
UHS;Universal Health Services, Inc.;reports;Health Care;35;Health Care Facilities;35102020;King of Prussia, Pennsylvania;20.09.2014;352915
UNM;Unum Group;reports;Financials;40;Life & Health Insurance;40301020;Chattanooga, Tennessee;01.03.1994;5513
VFC;V.F. Corp.;reports;Consumer Discretionary;25;Apparel, Accessories & Luxury Goods;25203010;Greensboro, North Carolina;30.06.1979;103379
VLO;Valero Energy;reports;Energy;10;Oil & Gas Refining & Marketing;10102030;San Antonio, Texas;;1035002
VAR;Varian Medical Systems;reports;Health Care;35;Health Care Equipment;35101010;Palo Alto, California;12.02.2007;203527
VTR;Ventas Inc;reports;Real Estate;60;Health Care REITs;60101050;Chicago, Illinois;04.03.2009;740260
VRSN;Verisign Inc.;reports;Information Technology;45;Internet Software & Services;45101010;Dulles, Virginia;01.02.2006;1014473
VRSK;Verisk Analytics;reports;Industrials;20;Research & Consulting Services;20202020;Jersey City, New Jersey;08.10.2015;1442145
VZ;Verizon Communications;reports;Telecommunication Services;50;Integrated Telecommunication Services;50101020;New York, New York;30.11.1983;732712
VRTX;Vertex Pharmaceuticals Inc;reports;Health Care;35;Biotechnology;35201010;Cambridge, Massachusetts;23.09.2013;875320
VIAB;Viacom Inc.;reports;Consumer Discretionary;25;Cable & Satellite;25401025;New York, New York;;1339947
V;Visa Inc.;reports;Information Technology;45;Internet Software & Services;45101010;San Francisco, California;21.12.2009;1403161
VNO;Vornado Realty Trust;reports;Real Estate;60;Office REITs;60101040;New York, New York;;899689
VMC;Vulcan Materials;reports;Materials;15;Construction Materials;15102010;Birmingham, Alabama;30.06.1999;1396009
