Ticker symbol;Security;SEC filings;GICS Sector;GICS Code;GICS Sub Industry;GICS Sub-Code;Address of Headquarters;Date first added;CIK
ADM;Archer-Daniels-Midland Co;reports;Consumer Staples;30;Agricultural Products;30202010;Decatur, Illinois;29.07.1981;7084
ARNC;Arconic Inc;reports;Industrials;20;Aerospace & Defense;20101010;New York, New York;31.03.1964;4281
AJG;Arthur J. Gallagher & Co.;reports;Financials;40;Insurance Brokers;40301010;Itasca, Illinois;31.05.2016;354190
AIZ;Assurant Inc;reports;Financials;40;Multi-line Insurance;40301030;New York, New York;10.04.2007;1267238
T;AT&T Inc;reports;Telecommunication Services;50;Integrated Telecommunication Services;50101020;Dallas, Texas;30.11.1983;732717
ADSK;Autodesk Inc;reports;Information Technology;45;Application Software;45103010;San Rafael, California;01.12.1989;769397
ADP;Automatic Data Processing;reports;Information Technology;45;Internet Software & Services;45101010;Roseland, New Jersey;31.03.1981;8670
AZO;AutoZone Inc;reports;Consumer Discretionary;25;Specialty Stores;25504040;Memphis, Tennessee;;866787
AVB;AvalonBay Communities, Inc.;reports;Real Estate;60;Residential REITs;60101060;Arlington, Virginia[3];10.01.2007;915912
AVY;Avery Dennison Corp;reports;Materials;15;Paper Packaging;15103020;Glendale, California;31.12.1987;8818
BHGE;Baker Hughes, a GE Company;reports;Energy;10;Oil & Gas Equipment & Services;10101020;Houston, Texas;;1701605
BLL;Ball Corp;reports;Materials;15;Metal & Glass Containers;15103010;Broomfield, Colorado;31.10.1984;9389
BAC;Bank of America Corp;reports;Financials;40;Diversified Banks;40101010;Charlotte, North Carolina;30.06.1976;70858
BK;The Bank of New York Mellon Corp.;reports;Financials;40;Asset Management & Custody Banks;40203010;New York, New York;;1390777
BAX;Baxter International Inc.;reports;Health Care;35;Health Care Equipment;35101010;Deerfield, Illinois;30.09.1972;10456
BBT;BB&T Corporation;reports;Financials;40;Regional Banks;40101015;Winston-Salem, North Carolina;;92230
BDX;Becton Dickinson;reports;Health Care;35;Health Care Equipment;35101010;Franklin Lakes, New Jersey;30.09.1972;10795
BRK.B;Berkshire Hathaway;reports;Financials;40;Multi-Sector Holdings;40201030;Omaha, Nebraska;16.02.2010;1067983
BBY;Best Buy Co. Inc.;reports;Consumer Discretionary;25;Computer & Electronics Retail;25504020;Richfield, Minnesota;29.06.1999;764478
BIIB;Biogen Inc.;reports;Health Care;35;Biotechnology;35201010;Weston, Massachusetts;;875045
BLK;BlackRock;reports;Financials;40;Asset Management & Custody Banks;40203010;New York, New York;04.04.2011;1364742
HRB;Block H&R;reports;Financials;40;Consumer Finance;40202010;Kansas City, Missouri;30.11.1986;12659
BA;Boeing Company;reports;Industrials;20;Aerospace & Defense;20101010;Chicago, Illinois;;12927
BWA;BorgWarner;reports;Consumer Discretionary;25;Auto Parts & Equipment;25101010;Auburn Hills, Michigan;19.12.2011;908255
BXP;Boston Properties;reports;Real Estate;60;Office REITs;60101040;Boston, Massachusetts;03.04.2006;1037540
BSX;Boston Scientific;reports;Health Care;35;Health Care Equipment;35101010;Marlborough, Massachusetts[4];24.02.1995;885725
BHF;Brighthouse Financial Inc;reports;Financials;40;Life & Health Insurance;40301020;Charlotte, North Carolina;08.08.2017;1685040
BMY;Bristol-Myers Squibb;reports;Health Care;35;Health Care Distributors;35102010;New York, New York;;14272
AVGO;Broadcom;reports;Information Technology;45;Semiconductors;45301020;San Jose, California;08.05.2014;1441634
BF.B;Brown-Forman Corp.;reports;Consumer Staples;30;Distillers & Vintners;30201020;Louisville, Kentucky;31.10.1982;14693
CHRW;C. H. Robinson Worldwide;reports;Industrials;20;Air Freight & Logistics;20301010;Eden Prairie, Minnesota;02.03.2007;1043277
CA;CA, Inc.;reports;Information Technology;45;Systems Software;45103020;Islandia, New York;31.07.1987;356028
COG;Cabot Oil & Gas;reports;Energy;10;Oil & Gas Exploration & Production;10102020;Houston, Texas;23.06.2008;858470
CDNS;Cadence Design Systems;reports;Information Technology;45;Application Software;45103010;San Jose, California;18.09.2017;813672
CPB;Campbell Soup;reports;Consumer Staples;30;Packaged Foods & Meats;30202030;Camden, New Jersey;;16732
COF;Capital One Financial;reports;Financials;40;Consumer Finance;40202010;Tysons Corner, Virginia;;927628
CAH;Cardinal Health Inc.;reports;Health Care;35;Health Care Distributors;35102010;Dublin, Ohio;;721371
CBOE;CBOE Holdings;reports;Financials;40;Financial Exchanges & Data;40203040;Chicago, Illinois;01.03.2017;1374310
KMX;Carmax Inc;reports;Consumer Discretionary;25;Specialty Stores;25504040;Richmond, Virginia;28.06.2010;1170010
CCL;Carnival Corp.;reports;Consumer Discretionary;25;Hotels, Resorts & Cruise Lines;25301020;Miami, Florida;;815097
CAT;Caterpillar Inc.;reports;Industrials;20;Construction Machinery & Heavy Trucks;20106010;Peoria, Illinois;;18230
CBG;CBRE Group;reports;Real Estate;60;Real Estate Services;60102040;Los Angeles, California;10.11.2006;1138118
CBS;CBS Corp.;reports;Consumer Discretionary;25;Broadcasting;25401020;New York, New York;01.09.1994;813828
CELG;Celgene Corp.;reports;Health Care;35;Biotechnology;35201010;Summit, New Jersey;06.11.2006;816284
